startTime,endTime,latency
1708422958446,1708422958459,13
1708422958459,1708422958471,12
1708422958471,1708422958485,14
1708422958485,1708422958499,14
1708422958499,1708422958514,15
1708422958514,1708422958528,14
1708422958528,1708422958542,14
1708422958542,1708422958556,14
1708422958556,1708422958571,15
1708422958571,1708422958586,15
1708422958586,1708422958599,13
1708422958599,1708422958613,14
1708422958613,1708422958627,14
1708422958627,1708422958642,15
1708422958642,1708422958656,14
1708422958656,1708422958671,15
1708422958671,1708422958684,13
1708422958684,1708422958699,15
1708422958699,1708422958713,14
1708422958713,1708422958728,15
1708422958728,1708422958743,15
1708422958743,1708422958758,15
1708422958758,1708422958771,13
1708422958771,1708422958785,14
1708422958785,1708422958801,16
1708422958801,1708422958816,15
1708422958816,1708422958831,15
1708422958831,1708422958846,15
1708422958846,1708422958860,14
1708422958860,1708422958874,14
1708422958874,1708422958889,15
1708422958889,1708422958903,14
1708422958903,1708422958917,14
1708422958917,1708422958930,13
1708422958930,1708422958944,14
1708422958944,1708422958956,12
1708422958956,1708422958968,12
1708422958968,1708422958982,14
1708422958982,1708422958996,14
1708422958996,1708422959011,15
1708422959011,1708422959025,14
1708422959025,1708422959037,12
1708422959037,1708422959051,14
1708422959051,1708422959066,15
1708422959066,1708422959080,14
1708422959080,1708422959095,15
1708422959095,1708422959109,14
1708422959109,1708422959123,14
1708422959123,1708422959139,16
1708422959139,1708422959153,14
1708422959153,1708422959167,14
1708422959167,1708422959181,14
1708422959181,1708422959194,13
1708422959194,1708422959209,15
1708422959209,1708422959224,15
1708422959224,1708422959237,13
1708422959237,1708422959252,15
1708422959252,1708422959266,14
1708422959266,1708422959280,14
1708422959280,1708422959295,15
1708422959295,1708422959310,15
1708422959310,1708422959323,13
1708422959323,1708422959339,16
1708422959339,1708422959352,13
1708422959352,1708422959363,11
1708422959363,1708422959378,15
1708422959378,1708422959393,15
1708422959393,1708422959406,13
1708422959406,1708422959420,14
1708422959420,1708422959434,14
1708422959434,1708422959450,16
1708422959450,1708422959464,14
1708422959464,1708422959479,15
1708422959479,1708422959491,12
1708422959491,1708422959506,15
1708422959506,1708422959521,15
1708422959521,1708422959535,14
1708422959535,1708422959550,15
1708422959550,1708422959565,15
1708422959565,1708422959579,14
1708422959579,1708422959592,13
1708422959592,1708422959607,15
1708422959607,1708422959621,14
1708422959621,1708422959634,13
1708422959634,1708422959649,15
1708422959649,1708422959662,13
1708422959662,1708422959675,13
1708422959675,1708422959690,15
1708422959690,1708422959705,15
1708422959705,1708422959724,19
1708422959724,1708422959735,11
1708422959735,1708422959750,15
1708422959750,1708422959765,15
1708422959765,1708422959779,14
1708422959779,1708422959794,15
1708422959794,1708422959809,15
1708422959809,1708422959823,14
1708422959823,1708422959837,14
1708422959837,1708422959851,14
1708422959851,1708422959867,16
1708422959867,1708422959881,14
1708422959881,1708422959896,15
1708422959896,1708422959910,14
1708422959910,1708422959923,13
1708422959923,1708422959937,14
1708422959937,1708422959952,15
1708422959952,1708422959965,13
1708422959965,1708422959980,15
1708422959980,1708422959995,15
1708422959995,1708422960009,14
1708422960009,1708422960022,13
1708422960022,1708422960039,17
1708422960039,1708422960053,14
1708422960053,1708422960067,14
1708422960067,1708422960081,14
1708422960081,1708422960096,15
1708422960096,1708422960110,14
1708422960110,1708422960124,14
1708422960124,1708422960139,15
1708422960139,1708422960152,13
1708422960152,1708422960166,14
1708422960166,1708422960180,14
1708422960180,1708422960193,13
1708422960193,1708422960209,16
1708422960209,1708422960223,14
1708422960223,1708422960236,13
1708422960236,1708422960250,14
1708422960250,1708422960265,15
1708422960265,1708422960280,15
1708422960280,1708422960295,15
1708422960295,1708422960309,14
1708422960309,1708422960324,15
1708422960324,1708422960337,13
1708422960337,1708422960351,14
1708422960351,1708422960366,15
1708422960366,1708422960378,12
1708422960378,1708422960393,15
1708422960393,1708422960407,14
1708422960407,1708422960419,12
1708422960419,1708422960431,12
1708422960431,1708422960446,15
1708422960446,1708422960460,14
1708422960460,1708422960475,15
1708422960475,1708422960488,13
1708422960488,1708422960503,15
1708422960503,1708422960518,15
1708422960518,1708422960531,13
1708422960531,1708422960543,12
1708422960543,1708422960559,16
1708422960559,1708422960574,15
1708422960574,1708422960585,11
1708422960585,1708422960600,15
1708422960600,1708422960614,14
1708422960614,1708422960629,15
1708422960629,1708422960644,15
1708422960644,1708422960658,14
1708422960658,1708422960673,15
1708422960673,1708422960687,14
1708422960687,1708422960701,14
1708422960701,1708422960716,15
1708422960716,1708422960730,14
1708422960730,1708422960745,15
1708422960745,1708422960759,14
1708422960759,1708422960774,15
1708422960774,1708422960786,12
1708422960786,1708422960800,14
1708422960800,1708422960814,14
1708422960814,1708422960829,15
1708422960829,1708422960845,16
1708422960845,1708422960859,14
1708422960859,1708422960874,15
1708422960874,1708422960887,13
1708422960887,1708422960902,15
1708422960902,1708422960915,13
1708422960915,1708422960930,15
1708422960930,1708422960944,14
1708422960944,1708422960958,14
1708422960958,1708422960972,14
1708422960972,1708422960986,14
1708422960986,1708422961000,14
1708422961000,1708422961015,15
1708422961015,1708422961029,14
1708422961029,1708422961042,13
1708422961042,1708422961057,15
1708422961057,1708422961070,13
1708422961070,1708422961084,14
1708422961084,1708422961099,15
1708422961099,1708422961114,15
1708422961114,1708422961128,14
1708422961128,1708422961143,15
1708422961143,1708422961158,15
1708422961158,1708422961173,15
1708422961173,1708422961185,12
1708422961185,1708422961197,12
1708422961197,1708422961211,14
1708422961211,1708422961226,15
1708422961226,1708422961241,15
1708422961241,1708422961255,14
1708422961255,1708422961269,14
1708422961269,1708422961283,14
1708422961283,1708422961297,14
1708422961297,1708422961310,13
1708422961310,1708422961325,15
1708422961325,1708422961339,14
1708422961339,1708422961351,12
1708422961351,1708422961366,15
1708422961366,1708422961381,15
1708422961381,1708422961396,15
1708422961396,1708422961410,14
1708422961410,1708422961425,15
1708422961425,1708422961439,14
1708422961439,1708422961453,14
1708422961453,1708422961468,15
1708422961468,1708422961482,14
1708422961482,1708422961497,15
1708422961497,1708422961511,14
1708422961511,1708422961526,15
1708422961526,1708422961541,15
1708422961541,1708422961556,15
1708422961556,1708422961571,15
1708422961571,1708422961585,14
1708422961585,1708422961600,15
1708422961600,1708422961614,14
1708422961614,1708422961628,14
1708422961628,1708422961640,12
1708422961640,1708422961654,14
1708422961654,1708422961669,15
1708422961669,1708422961683,14
1708422961683,1708422961699,16
1708422961699,1708422961713,14
1708422961713,1708422961727,14
1708422961727,1708422961741,14
1708422961741,1708422961754,13
1708422961754,1708422961768,14
1708422961768,1708422961781,13
1708422961781,1708422961795,14
1708422961795,1708422961809,14
1708422961809,1708422961823,14
1708422961823,1708422961838,15
1708422961838,1708422961851,13
1708422961851,1708422961863,12
1708422961863,1708422961876,13
1708422961876,1708422961891,15
1708422961891,1708422961906,15
1708422961906,1708422961921,15
1708422961921,1708422961935,14
1708422961935,1708422961949,14
1708422961949,1708422961963,14
1708422961963,1708422961978,15
1708422961978,1708422961992,14
1708422961992,1708422962007,15
1708422962007,1708422962021,14
1708422962021,1708422962036,15
1708422962036,1708422962050,14
1708422962050,1708422962065,15
1708422962065,1708422962079,14
1708422962079,1708422962094,15
1708422962094,1708422962108,14
1708422962108,1708422962123,15
1708422962123,1708422962137,14
1708422962137,1708422962150,13
1708422962150,1708422962165,15
1708422962165,1708422962180,15
1708422962180,1708422962195,15
1708422962195,1708422962209,14
1708422962209,1708422962223,14
1708422962223,1708422962238,15
1708422962238,1708422962252,14
1708422962252,1708422962268,16
1708422962268,1708422962283,15
1708422962283,1708422962297,14
1708422962297,1708422962310,13
1708422962310,1708422962324,14
1708422962324,1708422962338,14
1708422962338,1708422962354,16
1708422962354,1708422962369,15
1708422962369,1708422962383,14
1708422962383,1708422962396,13
1708422962396,1708422962409,13
1708422962409,1708422962421,12
1708422962421,1708422962436,15
1708422962436,1708422962451,15
1708422962451,1708422962464,13
