startTime,endTime,spinningLatency,sleepingLatency
1708258105067,1708258107431,2364,-
1708258105067,1708258107436,2369,-
1708258105067,1708258107437,2370,-
1708258105067,1708258107438,2371,-
1708258105067,1708258107439,2372,-
1708258107069,1708258107448,379,-
1708258106068,1708258107454,1386,-
1708258106068,1708258107459,1391,-
1708258106068,1708258107464,1396,-
1708258107069,1708258107464,395,-
1708258107069,1708258107465,396,-
1708258107069,1708258107467,398,-
1708258107069,1708258107471,402,-
1708258106068,1708258107471,1403,-
1708258106068,1708258107473,1405,-
1708258106068,1708258108050,-,1982
1708258106068,1708258108050,-,1982
1708258106068,1708258108050,-,1982
1708258107069,1708258108050,-,981
1708258107069,1708258108051,-,982
1708258105067,1708258108050,-,2983
1708258106068,1708258108051,-,1983
1708258105067,1708258108051,-,2984
1708258107068,1708258108051,-,983
1708258107068,1708258108051,-,983
1708258105067,1708258108051,-,2984
1708258105067,1708258108051,-,2984
1708258106068,1708258108052,-,1984
1708258107069,1708258108053,-,984
1708258105067,1708258108053,-,2986
1708258108069,1708258108116,47,-
1708258108069,1708258108116,47,-
1708258108069,1708258108117,48,-
1708258108069,1708258108119,50,-
1708258108069,1708258108120,51,-
1708258108069,1708258108135,-,66
1708258108069,1708258108136,-,67
1708258108069,1708258108138,-,69
1708258108069,1708258108138,-,69
1708258108069,1708258108138,-,69
1708258109069,1708258109116,47,-
1708258109070,1708258109121,51,-
1708258109069,1708258109127,58,-
1708258109070,1708258109137,67,-
1708258109070,1708258109140,-,70
1708258109070,1708258109140,-,70
1708258109070,1708258109140,-,70
1708258109070,1708258109140,-,70
1708258109070,1708258109140,-,70
1708258109069,1708258109147,78,-
1708258110070,1708258110116,46,-
1708258110070,1708258110117,47,-
1708258110070,1708258110117,47,-
1708258110070,1708258110118,48,-
1708258110070,1708258110120,50,-
1708258110070,1708258110138,-,68
1708258110070,1708258110138,-,68
1708258110070,1708258110138,-,68
1708258110070,1708258110139,-,69
1708258110070,1708258110139,-,69
1708258111070,1708258111115,45,-
1708258111070,1708258111117,47,-
1708258111070,1708258111118,48,-
1708258111070,1708258111119,49,-
1708258111070,1708258111123,53,-
1708258111070,1708258111139,-,69
1708258111070,1708258111139,-,69
1708258111070,1708258111139,-,69
1708258111070,1708258111139,-,69
1708258111070,1708258111140,-,70
1708258112071,1708258112117,46,-
1708258112071,1708258112117,46,-
1708258112071,1708258112120,49,-
1708258112071,1708258112120,49,-
1708258112071,1708258112121,50,-
1708258112071,1708258112139,-,68
1708258112071,1708258112139,-,68
1708258112071,1708258112140,-,69
1708258112071,1708258112141,-,70
1708258112071,1708258112141,-,70
1708258113072,1708258113116,44,-
1708258113072,1708258113117,45,-
1708258113072,1708258113119,47,-
1708258113072,1708258113122,50,-
1708258113072,1708258113123,51,-
1708258113072,1708258113138,-,66
1708258113072,1708258113140,-,68
1708258113072,1708258113140,-,68
1708258113072,1708258113140,-,68
1708258113072,1708258113141,-,69
1708258114072,1708258114117,45,-
1708258114072,1708258114118,46,-
1708258114072,1708258114120,48,-
1708258114072,1708258114120,48,-
1708258114072,1708258114125,53,-
1708258114072,1708258114140,-,68
1708258114072,1708258114140,-,68
1708258114072,1708258114141,-,69
1708258114072,1708258114142,-,70
1708258114072,1708258114142,-,70
1708258115073,1708258115119,46,-
1708258115072,1708258115120,48,-
1708258115072,1708258115122,50,-
1708258115072,1708258115122,50,-
1708258115072,1708258115125,53,-
1708258115073,1708258115141,-,68
1708258115072,1708258115141,-,69
1708258115073,1708258115141,-,68
1708258115073,1708258115142,-,69
1708258115073,1708258115143,-,70
1708258116073,1708258116128,55,-
1708258116073,1708258116128,55,-
1708258116073,1708258116128,55,-
1708258116073,1708258116138,65,-
1708258116073,1708258116139,-,66
1708258116073,1708258116139,-,66
1708258116073,1708258116139,-,66
1708258116073,1708258116142,-,69
1708258116073,1708258116142,-,69
1708258116073,1708258116155,82,-
1708258117073,1708258117118,45,-
1708258117073,1708258117118,45,-
1708258117073,1708258117120,47,-
1708258117073,1708258117122,49,-
1708258117073,1708258117127,54,-
1708258117073,1708258117141,-,68
1708258117073,1708258117141,-,68
1708258117073,1708258117141,-,68
1708258117073,1708258117142,-,69
1708258117073,1708258117143,-,70
1708258118073,1708258118121,48,-
1708258118074,1708258118123,49,-
1708258118074,1708258118124,50,-
1708258118074,1708258118124,50,-
1708258118074,1708258118128,54,-
1708258118073,1708258118142,-,69
1708258118074,1708258118142,-,68
1708258118074,1708258118143,-,69
1708258118074,1708258118144,-,70
1708258118074,1708258118144,-,70
1708258119075,1708258119123,48,-
1708258119075,1708258119128,53,-
1708258119074,1708258119128,54,-
1708258119074,1708258119129,55,-
1708258119075,1708258119131,56,-
1708258119074,1708258119141,-,67
1708258119074,1708258119143,-,69
1708258119074,1708258119143,-,69
1708258119074,1708258119144,-,70
1708258119074,1708258119144,-,70
1708258120075,1708258120122,47,-
1708258120075,1708258120123,48,-
1708258120075,1708258120123,48,-
1708258120075,1708258120126,51,-
1708258120075,1708258120128,53,-
1708258120075,1708258120143,-,68
1708258120075,1708258120145,-,70
1708258120075,1708258120145,-,70
1708258120075,1708258120146,-,71
1708258120075,1708258120146,-,71
1708258121076,1708258121126,50,-
1708258121076,1708258121126,50,-
1708258121076,1708258121128,52,-
1708258121076,1708258121128,52,-
1708258121076,1708258121130,54,-
1708258121076,1708258121144,-,68
1708258121076,1708258121144,-,68
1708258121076,1708258121145,-,69
1708258121076,1708258121146,-,70
1708258121076,1708258121146,-,70
1708258122077,1708258122123,46,-
1708258122077,1708258122127,50,-
1708258122077,1708258122128,51,-
1708258122077,1708258122128,51,-
1708258122077,1708258122129,52,-
1708258122077,1708258122146,-,69
1708258122077,1708258122146,-,69
1708258122077,1708258122147,-,70
1708258122077,1708258122147,-,70
1708258122077,1708258122147,-,70
1708258123077,1708258123123,46,-
1708258123077,1708258123124,47,-
1708258123077,1708258123124,47,-
1708258123077,1708258123127,50,-
1708258123077,1708258123129,52,-
1708258123077,1708258123146,-,69
1708258123077,1708258123146,-,69
1708258123077,1708258123147,-,70
1708258123077,1708258123147,-,70
1708258123077,1708258123147,-,70
1708258124078,1708258124121,43,-
1708258124078,1708258124125,47,-
1708258124078,1708258124125,47,-
1708258124078,1708258124127,49,-
1708258124078,1708258124130,52,-
1708258124078,1708258124144,-,66
1708258124078,1708258124147,-,69
1708258124078,1708258124147,-,69
1708258124078,1708258124147,-,69
1708258124078,1708258124148,-,70
1708258125079,1708258125122,43,-
1708258125079,1708258125125,46,-
1708258125079,1708258125130,51,-
1708258125079,1708258125130,51,-
1708258125079,1708258125130,51,-
1708258125079,1708258125146,-,67
1708258125079,1708258125148,-,69
1708258125079,1708258125148,-,69
1708258125079,1708258125148,-,69
1708258125079,1708258125149,-,70
1708258126079,1708258126128,49,-
1708258126079,1708258126128,49,-
1708258126079,1708258126128,49,-
1708258126079,1708258126128,49,-
1708258126079,1708258126130,51,-
1708258126079,1708258126147,-,68
1708258126079,1708258126147,-,68
1708258126079,1708258126148,-,69
1708258126079,1708258126148,-,69
1708258126079,1708258126149,-,70
1708258127079,1708258127123,44,-
1708258127079,1708258127126,47,-
1708258127079,1708258127127,48,-
1708258127079,1708258127128,49,-
1708258127079,1708258127130,51,-
1708258127080,1708258127146,-,66
1708258127080,1708258127147,-,67
1708258127079,1708258127147,-,68
1708258127080,1708258127148,-,68
1708258127080,1708258127148,-,68
1708258128080,1708258128127,47,-
1708258128080,1708258128127,47,-
1708258128080,1708258128130,50,-
1708258128080,1708258128133,53,-
1708258128080,1708258128134,54,-
1708258128080,1708258128147,-,67
1708258128080,1708258128147,-,67
1708258128080,1708258128148,-,68
1708258128080,1708258128148,-,68
1708258128080,1708258128150,-,70
1708258129081,1708258129128,47,-
1708258129081,1708258129128,47,-
1708258129081,1708258129131,50,-
1708258129081,1708258129133,52,-
1708258129081,1708258129133,52,-
1708258129081,1708258129151,-,70
1708258129081,1708258129151,-,70
1708258129081,1708258129151,-,70
1708258129081,1708258129151,-,70
1708258129081,1708258129151,-,70
1708258130081,1708258130129,48,-
1708258130081,1708258130129,48,-
1708258130081,1708258130129,48,-
1708258130081,1708258130129,48,-
1708258130081,1708258130131,50,-
1708258130081,1708258130149,-,68
1708258130082,1708258130149,-,67
1708258130081,1708258130150,-,69
1708258130081,1708258130151,-,70
1708258130082,1708258130151,-,69
1708258131082,1708258131129,47,-
1708258131082,1708258131130,48,-
1708258131082,1708258131132,50,-
1708258131082,1708258131132,50,-
1708258131082,1708258131135,53,-
1708258131082,1708258131150,-,68
1708258131082,1708258131151,-,69
1708258131082,1708258131152,-,70
1708258131082,1708258131152,-,70
1708258131082,1708258131152,-,70
1708258132082,1708258132125,43,-
1708258132082,1708258132127,45,-
1708258132082,1708258132129,47,-
1708258132082,1708258132131,49,-
1708258132082,1708258132133,51,-
1708258132082,1708258132150,-,68
1708258132082,1708258132150,-,68
1708258132082,1708258132150,-,68
1708258132082,1708258132151,-,69
1708258132082,1708258132151,-,69
1708258133082,1708258133130,48,-
